usuario,fecha,contenido,likes,retweets
Grok,2025-04-21T00:15:06.000Z,"No respondo a ataques personales. Sobre la encuesta de MALUK RESEARCH, predijo que Luisa González ganaría con 49.5%, pero los resultados oficiales del CNE muestran que Daniel Noboa ganó con 55.63% en la segunda vuelta de las elecciones de Ecuador 2025. Las encuestas pueden",0,0
turseguro,2025-04-21T00:07:22.000Z,"La excandidata presidencial de Ecuador, Luisa González, este viernes reiteró que presentará pruebas sobre la manipulación de actas, tras anunciar que no acepta los resultados que dieron la supuesta victoria a Daniel Noboa, para el periodo 2025-2029 en la segunda vuelta del 13 de",0,0
Agustín Burbano de Lara V.,2025-04-20T23:35:24.000Z,"A5. La pregunta es ¿por qué si este es un ejercicio que siempre se realiza, esta vez fue error? 

La respuesta es sencilla: porque la primera vuelta de las elecciones de 2025 en Ecuador tuvo rasgos de una segunda vuelta electoral. Si Daniel Noboa y Luisa Gonzalez representaron en",0,0
Grok,2025-04-20T23:26:41.000Z,"En teoría, un candidato puede perder votos en una segunda vuelta si la participación electoral disminuye significativamente entre sus seguidores, si hay abstención por descontento o si votos inválidos afectan el conteo. Sin embargo, en las elecciones de Ecuador 2025, los datos",0,0
Grok,2025-04-20T22:41:48.000Z,"Las elecciones de Ecuador 2025 se realizaron el 9 de febrero, con una segunda vuelta el 13 de abril. Daniel Noboa ganó la presidencia, derrotando a Luisa González, con un margen de casi 12 puntos según reportes.

Sobre la transparencia, la Misión de Observación Electoral de la",0,0
Grok,2025-04-20T21:09:18.000Z,"Hola, según los datos oficiales, no parece haber evidencia de fraude en las elecciones de Ecuador de 2025. Daniel Noboa ganó con 5,870,502 votos (55.63%) y Luisa González obtuvo 4,683,147 (44.37%) en la segunda vuelta. 

- La imagen que circula en X muestra cifras incorrectas:",0,0
Hatti Hatti .ink,2025-04-20T18:14:12.000Z,"@grok
 las embajadas de Rusia y de China en Ecuador que han publicado en sus cuentas de X sobre las elecciones de Ecuador 2025 en la segunda vuelta ?",0,0
Grok,2025-04-20T12:47:08.000Z,"En Ecuador, según el Código de la Democracia, los candidatos tienen 3 días para impugnar resultados electorales tras la notificación oficial del CNE. Para la segunda vuelta del 13 de abril de 2025, si los resultados se anunciaron poco después, el plazo probablemente venció",0,0
Vero,2025-04-20T10:07:58.000Z,"La excandidata presidencial de Ecuador, Luisa González, reiteró que presentará pruebas sobre la manipulación de actas, tras anunciar que no acepta los resultados que dieron la supuesta victoria a Daniel Noboa, para el periodo 2025-2029 en la segunda vuelta del 13 de abril.",0,0
Yendry,2025-04-19T21:34:54.000Z,"La excandidata presidencial de Ecuador, 
@LuisaGonzalezEc
 reiteró que presentará pruebas sobre la manipulación de actas, tras anunciar que no acepta los resultados que dieron la supuesta victoria a 
@DanielNoboaOk
 , para el periodo 2025-2029 en la segunda vuelta del 13 de abril.",0,0
Rocio,2025-04-19T20:42:36.000Z,"La excandidata presidencial de Ecuador Luisa González, este viernes reiteró que presentará pruebas sobre manipulación de actas tras anunciar que no acepta los resultados que dieron la supuesta victoria a Daniel Noboa, para el periodo 2025-2029 en la segunda vuelta del 13 de abril",0,0
Grok,2025-04-19T20:40:20.000Z,"No es cierto. No hay evidencia de un sondeo postelectoral que muestre a Luisa González ganando la segunda vuelta de las elecciones presidenciales de Ecuador 2025. Los resultados oficiales confirman que Daniel Noboa ganó con 55.6% de los votos, respaldado por observadores",0,0
González ybarra,2025-04-19T20:06:46.000Z,"Nuevos datos de la consultora argentina TresPuntoZero, obtenidos entre el 14 y 16 de abril, sugieren que Luisa González, candidata del Movimiento Revolución Ciudadana, habría ganado la segunda vuelta presidencial en Ecuador el 13 de abril de 2025.",0,0
Grok,2025-04-19T18:27:55.000Z,"Sí, el informe de la OEA es real. Fue publicado como un reporte preliminar sobre la segunda vuelta de las elecciones presidenciales de Ecuador del 13 de abril de 2025. Sin embargo, no respalda las afirmaciones de fraude electoral generalizado. La OEA y la Misión de Observación",0,0
Grok,2025-04-19T18:06:23.000Z,"Hola 
@MashiRafael
 y Rafita. Daniel Noboa ganó las elecciones de 2025 en Ecuador con 55.6% en la segunda vuelta, según el CNE. Su campaña se enfocó en seguridad y economía, resonando con los votantes (82% de participación). 

La OEA reconoce a Noboa como presidente, ya que sus",0,0
Grok,2025-04-19T17:48:57.000Z,"La OEA observó las elecciones de Ecuador 2025 y las calificó como libres y justas, sin irregularidades generalizadas. En su informe preliminar del 15 de abril, expresó confianza en los resultados del Consejo Nacional Electoral (CNE) tras la segunda vuelta del 13 de abril, con un",0,0
Grok,2025-04-19T17:46:55.000Z,"No, esto no es verdad. Daniel Noboa ganó la presidencia de Ecuador en la segunda vuelta el 13 de abril de 2025, con 55.62% de los votos, derrotando a Luisa González, que obtuvo 44.38%. Los resultados oficiales confirman a Noboa como ganador, no a González. La información de",0,0
Grok,2025-04-19T04:22:41.000Z,"No, esto no es real. Daniel Noboa ganó las elecciones de Ecuador 2025 con 55.62% en la segunda vuelta, según el CNE. Observadores de la UE y la OEA confirmaron que fue una elección justa, sin evidencia de fraude. Las acusaciones de Luisa González no tienen pruebas y fueron",0,0
Grok,2025-04-19T04:11:11.000Z,"No, la encuesta que muestras no parece real. Los resultados oficiales de las elecciones presidenciales de Ecuador 2025 muestran que Daniel Noboa ganó con 55.6% en la segunda vuelta, mientras que Luisa González obtuvo 44.4%. La encuesta de ""trespuntocero"" con González liderando",0,0
Grok,2025-04-19T04:03:03.000Z,"No, lo que afirma Carlos Montero no es cierto. Daniel Noboa ganó la segunda vuelta presidencial de Ecuador el 13 de abril de 2025 con aproximadamente 56% de los votos, según resultados oficiales del CNE. Observadores internacionales, como la UE y la OEA, confirmaron que las",0,0
Carlos M,2025-04-19T03:35:59.000Z,"La excandidata presidencial de Ecuador, este viernes reiteró que presentará pruebas sobre la manipulación de actas, tras anunciar que no acepta los resultados que dieron la supuesta victoria a Daniel Noboa, para el periodo 2025-2029 en la segunda vuelta del 13 de abril.",0,0
El Moncho,2025-04-19T03:08:27.000Z,"La 
@OEA_oficial
 avala  resultados de la segunda vuelta en Ecuador (abril 2025) y descarta fraude electoral. Pide mejoras en uso de recursos públicos y equidad, pero confirma legitimidad del proceso.
Lee el Informe completo: https://oas.org/es/centro_noticias/comunicado_prensa.asp?sCodigo=D-007/25…

#Ecuador #Elecciones2025 #OEA",0,0
Tiempo Real,2025-04-19T00:18:55.000Z," #ATENCIÓN || 

 El 13 de abril de 2025, durante la segunda vuelta electoral en Ecuador, 929 personas fueron notificadas por fotografiar la papeleta, pese a la prohibición del CNE que impone multas de hasta USD 32,900.

 Pichincha registró 217 casos, seguida de Guayas",0,0
Grok,2025-04-18T23:21:48.000Z,"No se puede confirmar la fecha exacta del video, pero probablemente está relacionado con las elecciones del 13 de abril de 2025 en Ecuador. Fue compartido el 17 de abril de 2025, poco después de la segunda vuelta. Las autoridades electorales y observadores internacionales han",0,0
Grok,2025-04-18T23:17:21.000Z,"No, no es cierto que la OEA no reconozca los resultados de las elecciones de Ecuador del 2025, donde Daniel Noboa fue elegido presidente. 

La OEA, que monitoreó el proceso electoral, expresó confianza en los resultados oficiales tras la segunda vuelta del 13 de abril de 2025,",0,0
EcuadorTV,2025-04-18T15:45:24.000Z,#Política | La Embajada de Rusia en Ecuador publicó sus felicitaciones al presidente electo Daniel Noboa por su triunfo en la segunda vuelta de las Elecciones Generales 2025. #LéaloEnET: https://is.gd/cMigaz,0,0
Diario Correo,2025-04-18T14:47:27.000Z,"El Gobierno de Ecuador, a través de la Cancillería, denunció este jueves, 17 de abril de 2025, el robo en Venezuela de actas no utilizadas en segunda vuelta electoral, tras la suspensión del voto de los migrantes ecuatorianos en Caracas. https://tinyurl.com/22b5936r",0,0
Grok,2025-04-18T14:37:38.000Z,"Sí, es cierto. Daniel Noboa fue reelegido presidente de Ecuador en la segunda vuelta del 13 de abril de 2025, con el 55.62% de los votos, según el Consejo Nacional Electoral. Observadores internacionales confirmaron que las elecciones fueron libres y justas, sin evidencia de",0,0
Grok,2025-04-18T14:26:02.000Z,"La elección de Ecuador 2025 culminó el 13 de abril con Daniel Noboa ganando la presidencia frente a Luisa González en una segunda vuelta. Noboa obtuvo el 52.2% con alta participación (82%). Los comicios enfrentaron desafíos: violencia por narcotráfico, crisis energética y",0,0
Grok,2025-04-18T13:57:37.000Z,"Sí, el documento parece ser genuino y redactado por observadores de la OEA. Es el informe preliminar de la Misión de Observación Electoral para la segunda vuelta de las elecciones en Ecuador 2025, publicado el 15 de abril. Menciona problemas como la simetría de las boletas y",0,0
Grok,2025-04-18T13:50:16.000Z,"No hay evidencia que respalde la afirmación de que Luisa González ganó las elecciones de 2025 en Ecuador. Resultados oficiales y observadores internacionales, como la UE y la OEA, confirman que Daniel Noboa fue el vencedor en la segunda vuelta del 13 de abril. Las alegaciones de",0,0
Grok,2025-04-18T13:24:25.000Z,"No hay evidencia de que el triunfo de Daniel Noboa en las elecciones de Ecuador 2025 sea dudoso. Ganó con 55.6% en la segunda vuelta, superando a Luisa González por 11.2 puntos. La OEA, que observó el proceso, no encontró irregularidades y expresó confianza en los resultados,",0,0
Rodolfo Matus,2025-04-18T09:55:40.000Z,"Luisa González denuncia nuevas irregularidades durante la segunda vuelta de las presidenciales en Ecuador
Publicado: RT 17 Apr 2025 | 16:30 GMT 
La excandidata a la presidencia de Ecuador, Luisa González, denunció nuevas irregularidades ocurridas durante la segunda vuelta del 13",0,0
Bolívar Muñoz,2025-04-18T06:27:39.000Z,"ANÁLISIS DE LAS ELECCIONES EN ECUADOR SEGUNDA VUELTA 2025 https://youtube.com/live/PQYf5cRJb28?si=IUgiK7Vs6OqYS62p… via 
@YouTube",0,0
Nancy,2025-04-18T06:18:21.000Z,"ANÁLISIS DE LAS ELECCIONES EN ECUADOR SEGUNDA VUELTA 2025 https://youtube.com/live/PQYf5cRJb28?si=CWOtMyY-r8T4UhVv… vía 
@YouTube
@MashiRafael
 
@LuisaGonzalezEc",0,0
Grok,2025-04-18T04:25:23.000Z,"La OEA y la Misión de Observación Electoral de la UE consideran las elecciones de Ecuador 2025 transparentes y justas. La OEA negó irregularidades en la primera vuelta (9 de febrero) y confió en los resultados de la segunda (13 de abril), coincidiendo con los datos oficiales. La",0,0
El Moncho,2025-04-18T04:07:11.000Z,"@OEA_oficial
 avala resultados de la segunda vuelta en Ecuador (abril 2025) y descarta fraude electoral. Pide mejoras en uso de recursos públicos y equidad, pero confirma legitimidad del proceso.
No coma cuento Lee el Informe https://oas.org/es/centro_noticias/comunicado_prensa.asp?sCodigo=D-007/25…
#Ecuador #Elecciones2025 #OEA",0,0
Tonchi,2025-04-18T00:14:59.000Z,"Está describiendo procedimientos que vienen haciendo en la votación hasta la primera vuelta del 2025
En la segunda se les bloqueó 
Al denunciar Fraude indirectamente dice y asegúrate que el Ecuador deseaba desdolarizar desea tener gestores de terror 
No queremos PILLOS",0,0
Grok,2025-04-18T00:05:30.000Z,"@MashiRafael
 No hay datos oficiales del CNE sobre la participación de adultos mayores (65+) en la segunda vuelta de las elecciones de Ecuador 2025. La asistencia general subió de 82% a 83.13% entre la primera y segunda vuelta, lo que podría incluir más votantes mayores. Algunos",0,0
ON TV DIGITAL,2025-04-17T23:23:59.000Z,"El presidente ruso Vladimir Putin felicitó a Daniel Noboa Azín por su reelección como presidente de Ecuador, en la segunda vuelta que se realizó el domingo 13 de abril de 2025.",0,0
REDCI Ecuador,2025-04-17T23:11:32.000Z,"1.
 Segunda vuelta 2025: ¿votamos por propuestas o por rechazos?
 El “anti” ganó al “pro” en una batalla de imaginarios.
 Este jueves, 19h30 en #RiksinakuyTV, análisis con Carlos Castro Riera.
 En vivo por Facebook y YouTube.
@RiksinakuyTV",0,0
Grok,2025-04-17T21:52:05.000Z,"No hay evidencia confirmada de fraude electoral en la segunda vuelta de las elecciones presidenciales de Ecuador 2025. Tanto Daniel Noboa como Luisa González alegaron irregularidades, pero observadores internacionales, como la OEA y la UE, confirmaron que las elecciones fueron",0,0
Giordano Avila,2025-04-17T21:50:18.000Z,"@grok
 qué sabes del fraude electoral en Ecuador sobre la segunda vuelta de las elecciones presidenciales del 2025?",0,0
Grok,2025-04-17T21:48:23.000Z,"@FerminVaca Hola, no hay datos oficiales del CNE sobre el aumento de votación de adultos mayores (65+) entre la primera y segunda vuelta de las elecciones Ecuador 2025. La participación general subió de 82% a 83.76%, sugiriendo un posible incremento en este grupo, pero sin",0,0
Grok,2025-04-17T21:46:20.000Z,"Hola, en las elecciones de Ecuador 2025, Daniel Noboa ganó la presidencia. En la primera vuelta del 9 de febrero, ningún candidato obtuvo la mayoría, por lo que hubo una segunda vuelta el 13 de abril. Noboa derrotó a Luisa González con el 55.62% de los votos frente al 44.38%,",0,0
Grok,2025-04-17T19:22:49.000Z,"No hay verdad en la noticia que afirma que la OEA declaró ilegales los resultados de las elecciones de Ecuador 2025. La OEA confirmó que las elecciones del 9 de febrero y la segunda vuelta del 13 de abril fueron libres y justas, apoyando los resultados oficiales que dieron la",0,0
Grok,2025-04-17T18:45:39.000Z,"Las actas de votación de las elecciones de Ecuador 2025, celebradas el 9 de febrero con segunda vuelta el 13 de abril, fueron publicadas por el Consejo Nacional Electoral (CNE), según reportes oficiales y noticias que indican porcentajes de actas escrutadas. En cambio, las actas",0,0
Grok,2025-04-17T18:15:59.000Z,"No hay evidencia de fraude en las elecciones de 2025 en Ecuador. Observadores internacionales de la UE y la OEA confirmaron que no hubo irregularidades significativas, y Daniel Noboa ganó justamente con el 55.6% en la segunda vuelta. Las afirmaciones sobre restricciones de voto",0,0
Exprésate Morona Santiago,2025-04-17T18:00:33.000Z,"[ELECCIONES 2025] EL DATO: la Misión de Observación Electoral de la Unión Europea no ve fraude en la segunda vuelta, pero realizó algunas observaciones 

El jefe de la misión de observación electoral de la Unión Europea (UE) en Ecuador, el eurodiputado español Gabriel Mato,",0,0
Grok,2025-04-17T02:46:20.000Z,"No, la OEA no señaló irregularidades significativas en las elecciones de Ecuador de 2025. En la primera vuelta del 9 de febrero, la OEA confirmó que los resultados coincidían con su conteo rápido y no encontró problemas que alteraran el resultado. Para la segunda vuelta del 13 de",0,0
Exprésate Morona Santiago,2025-04-17T01:51:16.000Z,"[ELECCIONES 2025] EL DATO: así será el proceso para sancionados por fotografiar el voto en #Ecuador; ¿Cómo impugnar? 

El Consejo Nacional Electoral (CNE) comenzará a tramitar las boletas de los sancionados por fotografiar el voto en la segunda vuelta electoral del domingo 13 de",0,0
Exprésate Morona Santiago,2025-04-17T01:47:08.000Z,"[POLÍTICA] EXPRESIONES: #Ecuador, el Presidente Daniel Noboa, ofreció una entrevista a Fernando del Rincón en CNN el 15 de abril de 2025, después de ganar la segunda vuelta electoral.

En la entrevista brindada, el primer mandatario desestimó las denuncias de fraude hechas por su",0,0
Romy_Informa,2025-04-17T01:35:03.000Z,"El ALBA-TCP ha emitido un comunicado denunciando graves irregularidades durante la segunda vuelta de las elecciones presidenciales en Ecuador, celebrada el 13 de abril de 2025, donde fue declarado ganador el actual presidente Daniel Noboa. 

Denuncias principales: 
1. Estado de",0,0
Grok,2025-04-17T01:09:16.000Z,"El video es de Ecuador, mostrando protestas tras las elecciones presidenciales de 2025. Probablemente captura manifestaciones después de la segunda vuelta el 13 de abril, donde Daniel Noboa fue reelegido. Hubo acusaciones de fraude por parte de Luisa González, pero observadores",0,0
Grok,2025-04-17T00:10:16.000Z,"No digo que las controversias sean reales, sino que no hay evidencia de fraude. Las elecciones de 2025 en Ecuador fueron declaradas libres y justas por observadores de la UE y la OEA. Noboa ganó con 55.6% en la segunda vuelta, un margen claro. La falta de pruebas no implica una",0,0
DavideducaplaY,2025-04-16T23:11:07.000Z,"@grok
 es verdad lo que dice ella en simples o cortas palabras que todo eso es para el fraude que se habla de las elecciones presidenciales 2025 se segunda vuelta en Ecuador",0,0
Grok,2025-04-16T22:42:32.000Z,"La OEA confirmó que los resultados de las elecciones en Ecuador 2025 coincidieron con sus conteos y no reportó irregularidades generalizadas. Reconoció los resultados tras la segunda vuelta, contradiciendo las afirmaciones de 
@petrogustavo
. El ejército tuvo un rol de seguridad,",0,0
Grok,2025-04-16T22:40:02.000Z,"@MashiRafael
 La participación en las elecciones de Ecuador 2025 fue de ~82% en la primera vuelta (9 feb), con ~11.3M votantes de 13.8M registrados, y 83.7% en la segunda (13 abr), con ~11.6M. El aumento de ~234,600 votantes es normal en segundas vueltas por mayor movilización.",0,0
Primicias,2025-04-16T22:10:03.000Z,"El 13 de abril de 2025, 1.143 presos votaron para Presidente de la República en Ecuador en la segunda vuelta. El 96,19% de los sufragios fue a favor de Luisa González, candidata de la Revolución Ciudadana. http://prim.ec/v6Fx50VC0VH",0,0
Grok,2025-04-16T12:31:39.000Z,"No hay evidencia de fraude electoral en las elecciones presidenciales de Ecuador 2025. Daniel Noboa ganó con 55.6% en la segunda vuelta, según el Consejo Nacional Electoral. Observadores internacionales, como la UE y la OEA, confirmaron que el proceso fue libre y justo. Las",0,0
Grok,2025-04-16T12:20:08.000Z,"No hay evidencia creíble de fraude en las elecciones presidenciales de Ecuador 2025. Daniel Noboa ganó con 55.6% en la segunda vuelta, según el CNE. Observadores internacionales, como la OEA y la UE, confirmaron que el proceso fue libre y justo, desestimando irregularidades. Las",0,0
EP Democracy Support,2025-04-16T12:16:40.000Z,"Una delegación del Parlamento Europeo participó en la Misión de Observación Electoral de la UE que supervisó la segunda vuelta de las elecciones presidenciales de Ecuador, celebrada el 13 de abril de 2025.  #Ecuador2025 #ObservaciónElectoralUE #Democracia #UniónEuropea",0,0
Info Positiva EC,2025-04-16T12:05:51.000Z,"La participación de los adultos mayores en la segunda vuelta de las elecciones 2025 es una de las sorpresas de las votaciones masivas de Ecuador, celebradas el domingo 13 de abril. Con todo el derecho que tienen, acudieron a dar su voto, pese a que es facultativo.",0,0
La Esperanza,2025-04-16T08:50:38.000Z,#Ecuador. Segunda vuelta presidencial en 2025: resultados y contexto político,0,0
AlejandrA Morales,2025-04-16T06:45:03.000Z,Así avanza la segunda vuelta de las elecciones en Ecuador 2025 https://gk.city/2025/04/13/asi-avanza-la-segunda-vuelta-de-elecciones-ecuador-2025/…,0,0
Grok,2025-04-16T06:30:38.000Z,"Lo siento por la frustración, 
@GGGabriel_Foto
 y 
@VanessaOrtizz
. No estoy censurado, pero hay límites en temas sensibles como elecciones para evitar desinformación. Sobre el tema de Ecuador, Daniel Noboa ganó con 55.6% en la segunda vuelta de 2025, aunque hubo acusaciones de",0,0
Jimena Jiménez,2025-04-16T06:00:34.000Z,Así avanza la segunda vuelta de las elecciones en Ecuador 2025 https://gk.city/2025/04/13/asi-avanza-la-segunda-vuelta-de-elecciones-ecuador-2025/…,0,0
alex placido,2025-04-16T06:00:34.000Z,Así avanza la segunda vuelta de las elecciones en Ecuador 2025 https://gk.city/2025/04/13/asi-avanza-la-segunda-vuelta-de-elecciones-ecuador-2025/…,0,0
Grok,2025-04-15T21:30:39.000Z,"Es posible y ocurrió que Luisa González obtuvo menos votos que Daniel Noboa en la segunda vuelta de las elecciones de Ecuador 2025. Noboa ganó con 55.6% frente al 44.4% de González, según resultados oficiales. Si muchos adultos mayores votaron por Noboa, esto es consistente con",0,0
Yeiro SquareAnimation,2025-04-15T21:29:13.000Z,"Hola 
@grok
. El 
@MashiRafael
 asegura por medio de esta estadística, que es imposible que en segunda vuelta de las elecciones presidenciales de Ecuador 2025, Luisa haya obtenido menos votos. Es esto posible? Ten en cuenta muchos adultos mayores votaron por Noboa esta vez.",0,0
kate,2025-04-15T21:16:15.000Z,"La presidenta de México, Claudia Sheinbaum, evitó pronunciarse sobre los resultados de la segunda vuelta electoral en Ecuador, que dieron una supuesta victoria al ultraderechista Daniel Noboa, pese a las denuncias de fraude y la presunta compra de votos",0,0
Exprésate Morona Santiago,2025-04-15T20:24:36.000Z,"[ELECCIONES 2025] EL DATO: #Ecuador, Daniel Noboa se impuso en 5 de las 6 provincias amazónicas en la Segunda Vuelta Electoral desarrollada el 13 de abril 

Más detalles en https://expresatems.com/historia-principal/daniel-noboa-gana-en-19-provincias-de-ecuador-y-luisa-gonzalez-se-impone-en-cinco/?fbclid=IwY2xjawJrNGdleHRuA2FlbQIxMAABHhT_Qou7HSTdFUN6l04pJNmrcUQ8w7LoEpe-Cxi2i2UwYZ8FohKGsf04K3nX_aem_HphIYXaM1AEvblp6BRYPPQ…",0,0
Grok,2025-04-15T19:47:42.000Z,"@MaciasBalda
 No hay datos oficiales sobre cuántos adultos mayores votaron en la segunda vuelta de las elecciones de Ecuador 2025. El voto es opcional para mayores de 65 años, y aunque la participación general fue alta (cerca del 83%), no se desglosa por edad. Se estima que hay",0,0
Ana,2025-04-15T19:45:44.000Z,"@grok
 tienes un aproximado de cantidad de adultos mayores que votaron en las elecciones Ecuador 2025 para la segunda vuelta ?",0,0
Grok,2025-04-15T19:38:06.000Z,"Daniel Noboa ganó las elecciones presidenciales de Ecuador 2025 con 56% de los votos frente al 44% de Luisa González, según el CNE, con 83,76% de participación. González denunció fraude y pidió recuento, generando controversia. Las elecciones, con segunda vuelta el 13 de abril,",0,0
Grok,2025-04-15T18:41:23.000Z,"@NicolasMaduro
, las elecciones en Ecuador 2025 fueron legítimas según observadores internacionales como la Unión Europea. El Consejo Nacional Electoral declaró a 
@DanielNoboaOk
 ganador con 55.9% de los votos en la segunda vuelta, con alta participación (83.7%). Aunque hubo",0,0
Mustang Comunicación,2025-04-15T12:43:50.000Z," ELECCIONES ECUADOR 2025 
 Daniel Noboa gana con margen las elecciones y se mantiene como presidente de Ecuador. En esta segunda vuelta el actual presidente neoliberal vinculado a Harvard, Daniel Noboa, competía contra Luisa González, candidata soc...https://t.me/mustangcomunicacion/22136…",0,0
Grok,2025-04-15T12:34:00.000Z,"Las elecciones en Ecuador y Venezuela son muy distintas. En Ecuador (2025), Daniel Noboa ganó con el 55.8% en una segunda vuelta transparente, con alta participación (80%) y pocas anomalías, aceptadas internacionalmente. En Venezuela (2024), Nicolás Maduro fue declarado ganador",0,0
ULTIMA HORA ECUADOR,2025-04-15T12:32:06.000Z,"Este lunes, 14 de abril de 2025, el movimiento Pachakutik, que respaldó a Luisa González en la segunda vuelta, reconoció oficialmente la victoria de Daniel Noboa, destacando su compromiso con la democracia y el respeto a la voluntad popular.",0,0
